order_date,product_category,product_subcategory,product_name,region,state,sales
2023-01-01,Technology,Machines,Technology Machines Product 72,East,New York,164.45845403801215
2023-01-01,Furniture,Bookcases,Furniture Bookcases Product 75,Central,Illinois,605.1038616257767
2023-01-01,Furniture,Tables,Furniture Tables Product 53,West,Washington,220.2157195714934
2023-01-01,Technology,Phones,Technology Phones Product 76,West,Washington,16.99564216752023
2023-01-01,Technology,Phones,Technology Phones Product 91,Central,Michigan,148.09892204552142
2023-01-01,Furniture,Tables,Furniture Tables Product 62,Central,Texas,207.67704433677613
2023-01-01,Furniture,Chairs,Furniture Chairs Product 3,East,Massachusetts,683.5044632019019
2023-01-02,Furniture,Tables,Furniture Tables Product 4,East,Pennsylvania,810.3133746352966
2023-01-02,Technology,Accessories,Technology Accessories Product 53,West,Arizona,686.4308836372036
2023-01-02,Technology,Machines,Technology Machines Product 35,West,California,266.1921817840167
2023-01-02,Office Supplies,Pens,Office Supplies Pens Product 6,West,Washington,572.0233245417916
2023-01-02,Technology,Machines,Technology Machines Product 18,West,Washington,401.1987336417963
2023-01-02,Office Supplies,Storage,Office Supplies Storage Product 48,Central,Texas,204.02303379495373
2023-01-02,Technology,Accessories,Technology Accessories Product 40,East,New York,278.63554145615694
2023-01-02,Technology,Accessories,Technology Accessories Product 89,South,Florida,149.51498272501502
2023-01-02,Furniture,Chairs,Furniture Chairs Product 65,East,Massachusetts,429.1674658993059
2023-01-03,Furniture,Bookcases,Furniture Bookcases Product 81,South,Georgia,792.2737851258936
2023-01-04,Office Supplies,Storage,Office Supplies Storage Product 41,South,Georgia,851.5381920119013
2023-01-04,Office Supplies,Paper,Office Supplies Paper Product 48,Central,Michigan,672.1528401369712
2023-01-04,Technology,Machines,Technology Machines Product 44,South,North Carolina,888.3406151505633
2023-01-04,Technology,Machines,Technology Machines Product 47,West,Arizona,763.1771981307285
2023-01-04,Office Supplies,Storage,Office Supplies Storage Product 14,Central,Michigan,527.5055010881741
2023-01-05,Furniture,Bookcases,Furniture Bookcases Product 52,East,Pennsylvania,147.93813986181692
